Time,Heartrate,HRV
0:00:00,68.88,97.92
0:00:01,67.66,98.3
0:00:02,66.98,97.51
0:00:03,68.15,98.34
0:00:04,68.83,97.83
0:00:05,67.64,97.93
0:00:06,67.67,98.17
0:00:07,68.45,97.95
0:00:08,68.88,97.71
0:00:09,68.99,97.42
0:00:10,67.71,97.95
0:00:11,69.57,98.28
0:00:12,69.03,98.26
0:00:13,69.46,97.49
0:00:14,70.46,97.78
0:00:15,70.01,97.85
0:00:16,69.45,98.33
0:00:17,67.9,97.52
0:00:18,68.66,97.52
0:00:19,67.6,97.79
0:00:20,66.18,97.62
0:00:21,67.68,97.49
0:00:22,67.25,97.94
0:00:23,68.71,97.72
0:00:24,69.61,98.22
0:00:25,70.95,98.28
0:00:26,70.25,97.77
0:00:27,82.46,97.93
0:00:28,71.74,97.97
0:00:29,71.09,98.26
0:00:30,70.36,98.17
0:00:31,87.87,97.44
0:00:32,68.33,97.95
0:00:33,66.92,97.59
0:00:34,65.75,97.8
0:00:35,65.63,98.04
0:00:36,64.66,97.44
0:00:37,64.34,98.31
0:00:38,62.85,97.99
0:00:39,64.34,98.23
0:00:40,63.74,98.18
0:00:41,63.31,97.39
0:00:42,61.54,97.61
0:00:43,60.7,97.88
0:00:44,59.56,97.79
0:00:45,57.97,98.25
0:00:46,57.21,98.04
0:00:47,57.7,97.94
0:00:48,55.89,97.78
0:00:49,57.86,98.18
0:00:50,59.47,97.61
0:00:51,59.31,97.5
0:00:52,57.37,98.2
0:00:53,56.37,97.76
0:00:54,56.03,97.45
0:00:55,56.36,97.5
0:00:56,58.05,97.86
0:00:57,56.92,97.86
0:00:58,58.01,97.56
0:00:59,57.62,97.39
0:01:00,57.6,97.56
0:01:01,57.41,97.9
0:01:02,58.75,97.48
0:01:03,60.06,98.07
0:01:04,61.95,97.89
0:01:05,60.69,97.43
0:01:06,60.13,97.43
0:01:07,60.65,98.05
0:01:08,61.36,97.61
0:01:09,60.19,98.35
0:01:10,61.16,98.16
0:01:11,61.76,97.52
0:01:12,61.41,97.6
0:01:13,60.72,97.41
0:01:14,60.36,97.89
0:01:15,61.83,98.2
0:01:16,61.16,97.62
0:01:17,62.88,98.11
0:01:18,61.98,97.97
0:01:19,60.05,97.68
0:01:20,60.17,97.52
0:01:21,61.87,97.7
0:01:22,63.63,97.54
0:01:23,61.78,97.81
0:01:24,60.95,98.01
0:01:25,60.35,98.22
0:01:26,60.4,98.17
0:01:27,62.03,97.55
0:01:28,60.69,97.36
0:01:29,59.34,97.95
0:01:30,58.66,98.03
0:01:31,57.96,97.42
0:01:32,58.77,97.45
0:01:33,57.44,97.4
0:01:34,56.09,97.57
0:01:35,54.85,98.24
0:01:36,55.46,97.92
0:01:37,56.31,97.95
0:01:38,57.18,97.86
0:01:39,56.17,97.68
0:01:40,55.6,97.76
0:01:41,56.44,97.93
0:01:42,42.15,97.99
0:01:43,54.89,97.93
0:01:44,53.89,98.13
0:01:45,53.23,97.89
0:01:46,54.4,98.06
0:01:47,52.96,97.86
0:01:48,51.4,98.24
0:01:49,51.24,98.27
0:01:50,51.51,97.59
0:01:51,50.07,97.49
0:01:52,51.38,98.11
0:01:53,50.03,98.11
0:01:54,50.0,97.63
0:01:55,50.0,97.99
0:01:56,50.0,98.17
0:01:57,51.01,97.62
0:01:58,52.76,97.61
0:01:59,53.59,98.16
0:02:00,53.35,97.99
0:02:01,53.47,98.1
0:02:02,52.58,97.52
0:02:03,54.12,97.81
0:02:04,53.54,98.25
0:02:05,55.5,98.21
0:02:06,56.5,98.24
0:02:07,56.94,98.22
0:02:08,58.1,98.05
0:02:09,57.72,97.65
0:02:10,58.42,98.22
0:02:11,59.75,97.62
0:02:12,71.45,97.85
0:02:13,61.02,97.67
0:02:14,60.29,97.79
0:02:15,59.66,97.64
0:02:16,58.5,98.0
0:02:17,59.8,97.66
0:02:18,58.39,97.81
0:02:19,57.77,96.36
0:02:20,59.33,98.34
0:02:21,60.75,97.38
0:02:22,61.88,98.13
0:02:23,63.1,97.86
0:02:24,63.97,97.77
0:02:25,64.53,98.33
0:02:26,64.17,97.51
0:02:27,64.13,97.5
0:02:28,63.59,98.22
0:02:29,63.5,98.27
0:02:30,63.26,97.74
0:02:31,62.75,97.96
0:02:32,64.54,97.8
0:02:33,63.9,98.16
0:02:34,65.7,97.45
0:02:35,64.28,98.06
0:02:36,64.95,97.73
0:02:37,66.59,97.92
0:02:38,65.97,97.85
0:02:39,66.45,97.92
0:02:40,67.29,97.53
0:02:41,67.47,97.97
0:02:42,66.0,98.0
0:02:43,66.9,97.52
0:02:44,68.05,97.73
0:02:45,67.34,98.31
0:02:46,65.63,98.05
0:02:47,65.72,97.48
0:02:48,66.89,98.08
0:02:49,65.37,98.2
0:02:50,64.23,97.56
0:02:51,64.83,97.42
0:02:52,63.96,97.93
0:02:53,64.93,97.9
0:02:54,63.98,97.8
0:02:55,65.94,98.09
0:02:56,66.25,97.92
0:02:57,67.25,97.56
0:02:58,67.96,97.53
0:02:59,66.42,97.7
0:03:00,65.69,97.39
0:03:01,67.5,97.51
0:03:02,68.23,98.3
0:03:03,69.73,98.35
0:03:04,71.68,97.49
0:03:05,71.51,97.57
0:03:06,69.73,98.27
0:03:07,68.71,97.39
0:03:08,68.15,97.88
0:03:09,68.74,97.76
0:03:10,68.34,98.19
0:03:11,68.69,98.09
0:03:12,67.17,97.5
0:03:13,68.6,97.9
0:03:14,66.97,97.83
0:03:15,68.48,97.59
0:03:16,86.5,98.14
0:03:17,67.81,97.84
0:03:18,68.01,98.13
0:03:19,66.55,97.92
