Time,Heartrate,HRV
0:00:00,72.76,97.87
0:00:01,71.79,97.38
0:00:02,70.78,98.07
0:00:03,68.85,97.95
0:00:04,67.63,97.8
0:00:05,68.04,97.52
0:00:06,68.14,97.75
0:00:07,68.19,98.24
0:00:08,69.06,98.26
0:00:09,68.33,97.94
0:00:10,67.43,97.61
0:00:11,66.84,97.76
0:00:12,66.81,97.98
0:00:13,65.77,98.34
0:00:14,67.37,97.54
0:00:15,66.96,98.17
0:00:16,67.99,97.58
0:00:17,68.95,98.27
0:00:18,67.73,97.99
0:00:19,67.48,98.28
0:00:20,69.21,97.76
0:00:21,67.68,97.73
0:00:22,67.61,98.17
0:00:23,67.62,97.9
0:00:24,67.88,98.06
0:00:25,69.68,97.62
0:00:26,69.87,97.95
0:00:27,71.23,98.08
0:00:28,72.58,97.56
0:00:29,73.78,97.38
0:00:30,74.11,97.86
0:00:31,74.19,97.64
0:00:32,74.68,97.92
0:00:33,75.45,97.37
0:00:34,74.97,97.75
0:00:35,76.67,98.36
0:00:36,75.1,98.15
0:00:37,75.07,97.89
0:00:38,76.44,97.46
0:00:39,58.19,98.27
0:00:40,77.19,97.92
0:00:41,76.32,97.86
0:00:42,74.5,97.86
0:00:43,74.7,97.45
0:00:44,74.46,98.32
0:00:45,73.9,97.59
0:00:46,75.68,98.0
0:00:47,77.1,98.35
0:00:48,78.72,97.59
0:00:49,77.96,97.68
0:00:50,78.26,97.64
0:00:51,78.48,97.74
0:00:52,78.28,97.86
0:00:53,66.24,98.16
0:00:54,76.12,97.5
0:00:55,78.07,98.17
0:00:56,78.21,98.17
0:00:57,79.11,97.73
0:00:58,79.08,98.29
0:00:59,78.49,97.64
0:01:00,77.79,97.64
0:01:01,78.71,97.45
0:01:02,79.45,98.12
0:01:03,79.49,98.1
0:01:04,79.86,97.97
0:01:05,80.29,98.18
0:01:06,80.88,97.99
0:01:07,66.03,97.36
0:01:08,81.13,98.23
0:01:09,81.38,98.13
0:01:10,82.82,97.52
0:01:11,82.95,98.31
0:01:12,81.34,97.68
0:01:13,79.56,97.95
0:01:14,79.85,97.79
0:01:15,81.05,98.09
0:01:16,80.11,97.67
0:01:17,80.43,97.68
0:01:18,80.83,97.89
0:01:19,79.14,97.68
0:01:20,77.3,97.72
0:01:21,77.18,97.93
0:01:22,76.74,97.87
0:01:23,77.69,97.76
0:01:24,77.86,98.06
0:01:25,76.68,97.49
0:01:26,78.55,98.14
0:01:27,80.51,97.43
0:01:28,81.97,97.47
0:01:29,82.11,97.51
0:01:30,82.14,97.78
0:01:31,81.91,97.63
0:01:32,82.21,97.56
0:01:33,83.87,97.58
0:01:34,82.11,97.78
0:01:35,82.23,98.03
0:01:36,80.57,98.12
0:01:37,79.24,98.3
0:01:38,80.66,97.88
0:01:39,81.6,97.47
0:01:40,82.0,98.01
0:01:41,82.08,97.83
0:01:42,81.32,97.77
0:01:43,81.25,97.82
0:01:44,79.83,97.83
0:01:45,80.06,98.35
0:01:46,81.87,98.36
0:01:47,80.64,98.18
0:01:48,79.77,98.19
0:01:49,78.51,97.85
0:01:50,77.77,97.56
0:01:51,76.17,97.66
0:01:52,76.88,98.01
0:01:53,77.28,97.78
0:01:54,78.94,98.29
0:01:55,79.39,98.36
0:01:56,79.39,98.04
0:01:57,79.86,97.49
0:01:58,80.27,97.85
0:01:59,80.4,98.15
0:02:00,80.02,98.27
0:02:01,80.36,98.36
0:02:02,82.34,98.35
0:02:03,96.45,97.5
0:02:04,82.95,97.59
0:02:05,81.83,97.64
0:02:06,81.16,98.29
0:02:07,82.85,97.87
0:02:08,84.28,98.23
0:02:09,85.66,98.05
0:02:10,83.99,97.77
0:02:11,82.13,98.08
0:02:12,81.64,97.5
0:02:13,98.62,97.54
0:02:14,82.14,98.03
0:02:15,80.93,97.62
0:02:16,79.2,98.34
0:02:17,80.65,97.99
0:02:18,82.6,97.73
0:02:19,81.9,97.73
0:02:20,97.01,98.33
0:02:21,80.76,98.33
0:02:22,81.57,97.87
0:02:23,82.91,98.21
0:02:24,84.69,98.26
0:02:25,83.89,98.21
0:02:26,85.72,97.6
0:02:27,85.9,97.91
0:02:28,87.3,97.48
0:02:29,85.77,98.29
0:02:30,86.46,97.72
0:02:31,87.66,97.71
0:02:32,85.71,97.99
0:02:33,86.9,97.44
0:02:34,85.31,97.38
0:02:35,85.27,98.32
0:02:36,85.23,98.3
0:02:37,86.76,98.02
0:02:38,85.4,97.83
0:02:39,86.77,98.22
0:02:40,86.8,97.74
0:02:41,102.04,98.26
0:02:42,85.37,97.72
0:02:43,85.4,98.03
0:02:44,96.63,97.72
0:02:45,82.6,97.84
0:02:46,84.19,98.27
0:02:47,84.3,97.54
0:02:48,85.41,97.74
0:02:49,83.59,98.35
0:02:50,84.77,97.74
0:02:51,71.48,97.62
0:02:52,82.81,97.64
0:02:53,81.39,98.05
0:02:54,82.68,97.79
0:02:55,83.56,97.91
0:02:56,81.72,98.31
0:02:57,81.68,97.93
0:02:58,83.29,97.51
0:02:59,82.93,97.74
0:03:00,81.04,97.83
0:03:01,81.64,98.21
0:03:02,94.14,97.77
0:03:03,78.14,98.11
0:03:04,79.6,97.87
0:03:05,80.33,97.81
0:03:06,79.51,98.05
0:03:07,81.21,98.08
0:03:08,79.85,97.88
0:03:09,80.27,97.44
0:03:10,81.95,97.47
0:03:11,83.92,97.76
0:03:12,83.07,97.99
0:03:13,84.38,98.19
0:03:14,83.69,97.81
0:03:15,83.11,98.35
0:03:16,84.66,97.82
0:03:17,86.63,98.28
0:03:18,86.07,98.04
0:03:19,84.5,97.59
0:03:20,85.43,97.38
0:03:21,85.25,98.06
0:03:22,86.02,97.65
0:03:23,84.43,98.04
0:03:24,84.71,98.05
0:03:25,94.86,97.96
0:03:26,84.88,97.83
0:03:27,84.41,97.55
0:03:28,84.97,97.76
0:03:29,86.87,97.46
0:03:30,88.22,97.76
0:03:31,87.6,97.51
0:03:32,89.53,98.0
0:03:33,90.5,97.46
0:03:34,91.76,98.29
0:03:35,91.05,98.11
0:03:36,92.99,97.79
0:03:37,94.63,97.92
0:03:38,96.06,97.66
0:03:39,94.33,98.28
0:03:40,95.29,98.16
0:03:41,95.01,97.67
0:03:42,95.79,98.08
0:03:43,94.93,97.98
0:03:44,93.7,98.21
0:03:45,93.75,98.15
0:03:46,94.6,97.54
0:03:47,92.83,97.56
0:03:48,94.81,98.08
0:03:49,96.39,97.94
0:03:50,95.62,98.16
0:03:51,97.13,97.84
0:03:52,96.46,97.76
0:03:53,96.43,97.59
0:03:54,96.0,97.82
0:03:55,97.44,97.32
0:03:56,98.75,97.81
0:03:57,98.3,98.16
0:03:58,98.22,97.5
0:03:59,98.36,98.16
0:04:00,98.25,97.63
0:04:01,98.81,97.73
0:04:02,97.68,97.82
0:04:03,99.08,97.82
